Participant_ID,Group,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1,1,6,5,7,3,3,6,10,6
2,1,5,6,3,2,1,2,3,5
3,1,5,4,6,3,8,9,6,5
4,1,7,7,10,2,1,8,2,7
5,1,7,9,4,7,7,3,1,10
6,1,7,9,10,1,9,8,4,8
7,1,5,3,8,1,1,9,3,5
8,1,8,6,8,1,2,5,3,6
9,1,7,8,9,3,3,8,7,7
10,1,7,4,8,1,2,7,8,8
11,1,7,6,9,2,2,8,5,6
12,1,5,7,10,1,2,8,9,5
13,1,5,6,8,1,10,9,8,6
14,1,7,5,4,6,6,6,4,6
15,1,7,8,5,3,2,9,4,7
16,1,7,7,9,2,1,9,6,8
17,2,7,6,10,2,3,10,5,6
18,2,6,6,10,1,3,8,5,6
19,2,7,4,8,2,7,8,6,6
20,2,8,5,7,1,1,9,7,7
21,2,6,5,10,1,1,9,3,5
22,2,5,3,8,1,9,7,8,5
23,2,9,8,10,1,8,7,7,5
24,2,10,7,10,5,1,9,3,10
25,2,7,5,8,2,2,8,6,7
26,2,10,9,9,5,1,9,8,9
27,2,9,10,10,2,9,10,7,8
28,2,7,7,10,1,1,10,9,8
29,2,7,8,9,1,1,8,7,8
30,2,6,6,8,1,1,7,5,6
31,3,5,7,7,1,1,6,4,5
32,3,7,6,9,1,1,8,4,5
33,3,7,6,5,2,4,7,NA,NA
34,3,7,6,8,1,6,9,5,9
35,3,6,7,9,1,1,5,3,7
36,3,6,4,9,1,3,10,2,7
37,3,6,5,7,2,1,10,3,6
38,3,7,7,9,2,2,7,4,7
39,3,10,9,10,1,2,10,4,10
40,3,8,7,8,2,2,8,4,7
41,3,6,7,8,4,1,7,4,7
42,3,6,5,9,2,1,7,8,7
43,3,7,5,2,7,9,3,3,7
44,3,6,7,9,1,2,8,8,6
45,3,7,7,5,1,9,6,2,8
46,3,7,5,9,2,1,8,4,8
